Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2002-06-01,0.54,54,66.3,78.6,62
BB17,-72.9981,41.4451,594,2002-06-02,0.02,57.7,70.1,82.6,51.3
BB17,-72.9981,41.4451,594,2002-06-03,0,48.6,61.9,75.1,42.2
BB17,-72.9981,41.4451,594,2002-06-04,0,44.3,57.5,70.7,38.5
BB17,-72.9981,41.4451,594,2002-06-05,0.43,59.2,64.2,69.1,48.4
BB17,-72.9981,41.4451,594,2002-06-06,0.42,61.3,69.3,77.4,63.8
BB17,-72.9981,41.4451,594,2002-06-07,1.44,52.7,62,71.3,52
BB17,-72.9981,41.4451,594,2002-06-08,0.13,43.9,54.5,65.1,47.6
BB17,-72.9981,41.4451,594,2002-06-09,0,49.4,58.9,68.4,45.7
BB17,-72.9981,41.4451,594,2002-06-10,0,53.9,66.2,78.6,57.7
BB17,-72.9981,41.4451,594,2002-06-11,0,55.2,65.9,76.6,52.3
BB17,-72.9981,41.4451,594,2002-06-12,0,59.2,71.9,84.5,64.3
BB17,-72.9981,41.4451,594,2002-06-13,0.22,51.9,65.1,78.3,55.8
BB17,-72.9981,41.4451,594,2002-06-14,0,52.7,57.5,62.3,53.1
BB17,-72.9981,41.4451,594,2002-06-15,0.46,53.4,56.7,60,53.7
BB17,-72.9981,41.4451,594,2002-06-16,0.06,49.8,54.2,58.5,50.5
BB17,-72.9981,41.4451,594,2002-06-17,0.35,50,60.3,70.7,54.6
BB17,-72.9981,41.4451,594,2002-06-18,0,49.2,62.4,75.6,51.3
BB17,-72.9981,41.4451,594,2002-06-19,0,54.3,65.2,76.1,51.6
BB17,-72.9981,41.4451,594,2002-06-20,0.15,54.1,66.5,78.8,56
BB17,-72.9981,41.4451,594,2002-06-21,0,53.7,66,78.2,56
BB17,-72.9981,41.4451,594,2002-06-22,0,57,68.4,79.8,59.1
BB17,-72.9981,41.4451,594,2002-06-23,0,64.2,74.5,84.8,63.4
BB17,-72.9981,41.4451,594,2002-06-24,0,68,76.4,84.8,65.2
BB17,-72.9981,41.4451,594,2002-06-25,0,57.9,72,86.1,53.5
BB17,-72.9981,41.4451,594,2002-06-26,0,63.3,71.6,80,55.7
BB17,-72.9981,41.4451,594,2002-06-27,0.05,70.4,79.9,89.5,69.2
