Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2008-06-01,0.16,54.1,63.2,72.2,58.5
BB17,-72.9981,41.4451,594,2008-06-02,0,50.2,64.3,78.4,49.8
BB17,-72.9981,41.4451,594,2008-06-03,0,49.6,64.1,78.7,47.6
BB17,-72.9981,41.4451,594,2008-06-04,0.43,55.5,67.9,80.4,49.3
BB17,-72.9981,41.4451,594,2008-06-05,0.1,56.6,60.6,64.7,56.6
BB17,-72.9981,41.4451,594,2008-06-06,0.29,55.6,62.8,69.9,54.9
BB17,-72.9981,41.4451,594,2008-06-07,0.14,55.8,59.6,63.4,57
BB17,-72.9981,41.4451,594,2008-06-08,0,60.7,74.2,87.7,67.5
BB17,-72.9981,41.4451,594,2008-06-09,0.55,66.5,77.8,89.1,68.1
BB17,-72.9981,41.4451,594,2008-06-10,0,67.4,80.3,93.2,68.2
BB17,-72.9981,41.4451,594,2008-06-11,0.13,65.5,79.5,93.5,65.4
BB17,-72.9981,41.4451,594,2008-06-12,0,58.6,70.3,82,54.7
BB17,-72.9981,41.4451,594,2008-06-13,0,48.7,64.4,80.1,46.1
BB17,-72.9981,41.4451,594,2008-06-14,0,56.3,67.7,79.2,51.1
BB17,-72.9981,41.4451,594,2008-06-15,1.14,65.7,74.8,83.9,65.5
BB17,-72.9981,41.4451,594,2008-06-16,0.09,58.4,65.8,73.2,60.2
BB17,-72.9981,41.4451,594,2008-06-17,0.63,56.8,64.5,72.1,59.2
BB17,-72.9981,41.4451,594,2008-06-18,0,48.6,61.8,75.1,51.5
BB17,-72.9981,41.4451,594,2008-06-19,0.19,51.1,60.7,70.4,52.3
BB17,-72.9981,41.4451,594,2008-06-20,0,53.1,62.8,72.6,52.3
BB17,-72.9981,41.4451,594,2008-06-21,0.18,54.5,65.2,75.9,55.5
BB17,-72.9981,41.4451,594,2008-06-22,0,60.8,70.1,79.3,58.6
BB17,-72.9981,41.4451,594,2008-06-23,0.03,64.2,70.3,76.3,64.1
