Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F)
BB17,-72.9981,41.4451,594,2013-06-01,0,62.1,76.4,90.6,63.6
BB17,-72.9981,41.4451,594,2013-06-02,0,65,74.7,84.3,65.3
BB17,-72.9981,41.4451,594,2013-06-03,0.26,65.1,73.2,81.3,65.3
BB17,-72.9981,41.4451,594,2013-06-04,0.72,50.9,62.8,74.6,53.6
BB17,-72.9981,41.4451,594,2013-06-05,0,47.3,60.4,73.5,43.5
BB17,-72.9981,41.4451,594,2013-06-06,0,47.8,59.6,71.3,47.5
BB17,-72.9981,41.4451,594,2013-06-07,0.47,53.7,60.7,67.7,53.4
BB17,-72.9981,41.4451,594,2013-06-08,3.27,52.7,56.8,60.9,53.9
BB17,-72.9981,41.4451,594,2013-06-09,0.01,52.9,64.1,75.3,57.6
BB17,-72.9981,41.4451,594,2013-06-10,0,56.7,66.9,77.2,56
BB17,-72.9981,41.4451,594,2013-06-11,1.19,58.8,64.9,71,58.6
BB17,-72.9981,41.4451,594,2013-06-12,0.28,59.3,66.7,74.1,59
BB17,-72.9981,41.4451,594,2013-06-13,0.03,50.6,61.4,72.3,51.2
BB17,-72.9981,41.4451,594,2013-06-14,2.45,50.2,54.2,58.2,51.5
BB17,-72.9981,41.4451,594,2013-06-15,0.1,51.1,61,70.8,52.9
BB17,-72.9981,41.4451,594,2013-06-16,0,49.5,63.5,77.5,49.7
BB17,-72.9981,41.4451,594,2013-06-17,0,55.6,65.6,75.7,58.8
BB17,-72.9981,41.4451,594,2013-06-18,0.08,56.3,69.1,81.8,59.8
BB17,-72.9981,41.4451,594,2013-06-19,0.33,52.4,66,79.6,58.3
BB17,-72.9981,41.4451,594,2013-06-20,0,47.2,60.8,74.3,47
BB17,-72.9981,41.4451,594,2013-06-21,0,51.4,64.2,76.9,52.4
BB17,-72.9981,41.4451,594,2013-06-22,0,55.8,68.1,80.4,57.3
BB17,-72.9981,41.4451,594,2013-06-23,0,59.1,70,80.9,57.8
BB17,-72.9981,41.4451,594,2013-06-24,0,67.9,76.5,85,67.4
BB17,-72.9981,41.4451,594,2013-06-25,0.5,64.3,77,89.7,66.7
BB17,-72.9981,41.4451,594,2013-06-26,0.01,67.9,77.6,87.3,68.4
BB17,-72.9981,41.4451,594,2013-06-27,0,65.4,73.8,82.1,67.1
BB17,-72.9981,41.4451,594,2013-06-28,0.81,67.1,73.5,80,68.6
BB17,-72.9981,41.4451,594,2013-06-29,0.33,66.9,73.9,80.9,68.3
BB17,-72.9981,41.4451,594,2013-06-30,0,68.6,75.2,81.7,67.5
BB17,-72.9981,41.4451,594,2013-07-01,0.06,69.5,75.2,80.9,69.5
BB17,-72.9981,41.4451,594,2013-07-02,0.29,71.3,73.4,75.5,70.1
BB17,-72.9981,41.4451,594,2013-07-03,0.02,69.9,75.4,81,69.7
BB17,-72.9981,41.4451,594,2013-07-04,0,71.8,77.7,83.6,70.6
BB17,-72.9981,41.4451,594,2013-07-05,0,71.3,79.2,87.1,70.6
BB17,-72.9981,41.4451,594,2013-07-06,0,72.5,80.8,89,70.7
BB17,-72.9981,41.4451,594,2013-07-07,0,72,80.5,89,70.8
BB17,-72.9981,41.4451,594,2013-07-08,0,69.4,79.7,90.1,70.2
BB17,-72.9981,41.4451,594,2013-07-09,0,66.7,76.2,85.6,66.9
BB17,-72.9981,41.4451,594,2013-07-10,1.32,70.3,76.5,82.7,69.5
BB17,-72.9981,41.4451,594,2013-07-11,0.8,71.2,77.1,83,71.2
BB17,-72.9981,41.4451,594,2013-07-12,0.15,66.1,73.5,80.9,64.4
BB17,-72.9981,41.4451,594,2013-07-13,0.04,63.7,70.9,78.2,60.2
BB17,-72.9981,41.4451,594,2013-07-14,0.09,64.9,70.9,76.8,69.1
BB17,-72.9981,41.4451,594,2013-07-15,0.07,71.2,79.3,87.3,70.9
BB17,-72.9981,41.4451,594,2013-07-16,0,69,79.6,90.1,68.8
BB17,-72.9981,41.4451,594,2013-07-17,0,69,79.6,90.2,66.8
BB17,-72.9981,41.4451,594,2013-07-18,0,72.2,81.2,90.1,69.5
BB17,-72.9981,41.4451,594,2013-07-19,0,73.3,82.8,92.3,72.1
BB17,-72.9981,41.4451,594,2013-07-20,0,75.3,83.8,92.3,73
BB17,-72.9981,41.4451,594,2013-07-21,0.3,66.5,78,89.4,67.7
BB17,-72.9981,41.4451,594,2013-07-22,0,65.1,74.1,83.2,63.4
BB17,-72.9981,41.4451,594,2013-07-23,0.63,69.7,75.4,81,69.8
BB17,-72.9981,41.4451,594,2013-07-24,0.68,69.6,76.9,84.3,70
BB17,-72.9981,41.4451,594,2013-07-25,0,57.9,69.1,80.4,56.8
BB17,-72.9981,41.4451,594,2013-07-26,0.39,57.6,60.6,63.6,53.9
BB17,-72.9981,41.4451,594,2013-07-27,0.08,61.1,68.2,75.3,60.7
BB17,-72.9981,41.4451,594,2013-07-28,0,62.2,70.4,78.6,62.1
BB17,-72.9981,41.4451,594,2013-07-29,0,66.6,71.4,76.1,65.3
BB17,-72.9981,41.4451,594,2013-07-30,0,57.3,70.1,83,59.2
BB17,-72.9981,41.4451,594,2013-07-31,0,56,67.2,78.4,55.9
BB17,-72.9981,41.4451,594,2013-08-01,0,58.5,68.8,79.1,58.3
BB17,-72.9981,41.4451,594,2013-08-02,0.53,62.8,69,75.3,63.6
BB17,-72.9981,41.4451,594,2013-08-03,0.02,61.5,70.8,80.2,60.4
BB17,-72.9981,41.4451,594,2013-08-04,0.05,54.8,65.1,75.4,60.2
BB17,-72.9981,41.4451,594,2013-08-05,0,51.2,64,76.8,52.9
BB17,-72.9981,41.4451,594,2013-08-06,0,50,62,74,47.9
BB17,-72.9981,41.4451,594,2013-08-07,0,52.8,64.5,76.2,54.8
BB17,-72.9981,41.4451,594,2013-08-08,0.05,60.7,67.9,75,61.8
BB17,-72.9981,41.4451,594,2013-08-09,0.21,68.2,73.2,78.1,68.4
BB17,-72.9981,41.4451,594,2013-08-10,1.15,63,70.8,78.5,69.4
BB17,-72.9981,41.4451,594,2013-08-11,0,51.6,66,80.3,55.7
BB17,-72.9981,41.4451,594,2013-08-12,0,58.7,67.7,76.8,56.3
BB17,-72.9981,41.4451,594,2013-08-13,0,61.1,70,78.8,60.4
BB17,-72.9981,41.4451,594,2013-08-14,0.1,55.5,64.7,73.9,61
BB17,-72.9981,41.4451,594,2013-08-15,0,49,60.5,72,49.2
BB17,-72.9981,41.4451,594,2013-08-16,0,50.3,62.3,74.3,50.3
BB17,-72.9981,41.4451,594,2013-08-17,0,52.1,64.5,76.9,53
BB17,-72.9981,41.4451,594,2013-08-18,0,57.3,68.3,79.3,56.4
BB17,-72.9981,41.4451,594,2013-08-19,0,57.4,66.6,75.8,58.1
BB17,-72.9981,41.4451,594,2013-08-20,0,58.1,67.9,77.8,60.4
BB17,-72.9981,41.4451,594,2013-08-21,0,58.6,70.6,82.5,59.9
BB17,-72.9981,41.4451,594,2013-08-22,0,60.7,72.7,84.6,62.7
BB17,-72.9981,41.4451,594,2013-08-23,0.03,64,70.7,77.4,66.2
BB17,-72.9981,41.4451,594,2013-08-24,0,53.7,66.4,79.1,52.9
BB17,-72.9981,41.4451,594,2013-08-25,0,50.1,63.1,76.1,50.7
BB17,-72.9981,41.4451,594,2013-08-26,0,58,68.9,79.8,54.2
BB17,-72.9981,41.4451,594,2013-08-27,0.86,63.8,69.6,75.4,63.7
BB17,-72.9981,41.4451,594,2013-08-28,0,63.3,73.1,82.9,65.8
BB17,-72.9981,41.4451,594,2013-08-29,0.57,64.4,73.3,82.2,66.2
BB17,-72.9981,41.4451,594,2013-08-30,0,63,69.7,76.5,61.5
BB17,-72.9981,41.4451,594,2013-08-31,0.03,64.9,72.5,80.1,66.3
BB17,-72.9981,41.4451,594,2013-09-01,0.21,70.7,75.2,79.7,69.8
BB17,-72.9981,41.4451,594,2013-09-02,0.09,71.1,75.3,79.5,70.8
BB17,-72.9981,41.4451,594,2013-09-03,0.17,66.4,71.7,77,68.1
BB17,-72.9981,41.4451,594,2013-09-04,0,55.1,65,74.9,58.9
BB17,-72.9981,41.4451,594,2013-09-05,0,57.3,67,76.7,55.8
BB17,-72.9981,41.4451,594,2013-09-06,0,45.1,58.8,72.5,45.2
BB17,-72.9981,41.4451,594,2013-09-07,0,45.3,56.4,67.4,42.5
BB17,-72.9981,41.4451,594,2013-09-08,0,55.7,65.1,74.6,52.7
BB17,-72.9981,41.4451,594,2013-09-09,0,43,59.5,76,47.1
BB17,-72.9981,41.4451,594,2013-09-10,0.03,52.3,60.7,69,50.1
BB17,-72.9981,41.4451,594,2013-09-11,0.11,64.5,71.2,78,67.7
BB17,-72.9981,41.4451,594,2013-09-12,0,69.1,79.9,90.7,70.2
BB17,-72.9981,41.4451,594,2013-09-13,0.48,65.3,73.9,82.6,67.6
BB17,-72.9981,41.4451,594,2013-09-14,0.02,49.9,61.8,73.6,52.2
BB17,-72.9981,41.4451,594,2013-09-15,0,42.5,53.6,64.7,44.8
BB17,-72.9981,41.4451,594,2013-09-16,0,50.6,59.1,67.7,47.9
BB17,-72.9981,41.4451,594,2013-09-17,0,40.1,54,67.9,43.2
BB17,-72.9981,41.4451,594,2013-09-18,0,39.3,50.6,61.8,37.6
BB17,-72.9981,41.4451,594,2013-09-19,0,41.4,55.4,69.4,44.6
BB17,-72.9981,41.4451,594,2013-09-20,0,45.4,59.8,74.1,48.3
BB17,-72.9981,41.4451,594,2013-09-21,0,50.9,63.2,75.4,53.6
BB17,-72.9981,41.4451,594,2013-09-22,1.03,58.6,65.6,72.6,61.8
BB17,-72.9981,41.4451,594,2013-09-23,0,43.2,55.2,67.1,43.4
BB17,-72.9981,41.4451,594,2013-09-24,0,40.9,50.9,60.9,38.8
BB17,-72.9981,41.4451,594,2013-09-25,0,42.2,55.2,68.2,40.6
BB17,-72.9981,41.4451,594,2013-09-26,0,50.5,59.6,68.7,48.6
BB17,-72.9981,41.4451,594,2013-09-27,0,46.3,56,65.7,47.2
BB17,-72.9981,41.4451,594,2013-09-28,0,45.5,54,62.5,47.3
BB17,-72.9981,41.4451,594,2013-09-29,0,45.8,58.7,71.6,49.4
BB17,-72.9981,41.4451,594,2013-09-30,0,43.7,55.8,67.8,47
BB17,-72.9981,41.4451,594,2013-10-01,0,45.5,58,70.4,48
BB17,-72.9981,41.4451,594,2013-10-02,0,49.9,63.2,76.4,52.7
BB17,-72.9981,41.4451,594,2013-10-03,0,47.1,62.8,78.6,54.4
BB17,-72.9981,41.4451,594,2013-10-04,0,52.9,63.8,74.8,51.4
BB17,-72.9981,41.4451,594,2013-10-05,0.03,57.9,67.7,77.5,57.8
BB17,-72.9981,41.4451,594,2013-10-06,0.34,60.9,67.3,73.7,59.7
BB17,-72.9981,41.4451,594,2013-10-07,0.17,57.8,61.4,65.1,57.5
BB17,-72.9981,41.4451,594,2013-10-08,0.42,46.7,59.6,72.6,56.7
BB17,-72.9981,41.4451,594,2013-10-09,0,43.4,54.2,65,39.3
BB17,-72.9981,41.4451,594,2013-10-10,0,45.3,54,62.6,41.5
BB17,-72.9981,41.4451,594,2013-10-11,0,47.7,53.1,58.4,46.4
BB17,-72.9981,41.4451,594,2013-10-12,0,49.9,59,68.1,48.5
BB17,-72.9981,41.4451,594,2013-10-13,0,48.7,58.7,68.6,48.7
BB17,-72.9981,41.4451,594,2013-10-14,0,40.2,50.7,61.1,43.6
BB17,-72.9981,41.4451,594,2013-10-15,0,44.3,53.7,63,45
BB17,-72.9981,41.4451,594,2013-10-16,0,46.7,58.1,69.5,45.9
BB17,-72.9981,41.4451,594,2013-10-17,0,50.5,57.1,63.6,51.2
BB17,-72.9981,41.4451,594,2013-10-18,0.07,56.3,63.6,71,56.3
BB17,-72.9981,41.4451,594,2013-10-19,0,37.8,51.8,65.8,40
BB17,-72.9981,41.4451,594,2013-10-20,0.02,43.6,52.8,62,43.7
BB17,-72.9981,41.4451,594,2013-10-21,0,36.2,48.2,60.2,33.5
BB17,-72.9981,41.4451,594,2013-10-22,0,41.3,52.6,63.8,39.4
BB17,-72.9981,41.4451,594,2013-10-23,0,34.2,49.6,64.9,39.5
BB17,-72.9981,41.4451,594,2013-10-24,0,33.2,41.3,49.4,31.3
BB17,-72.9981,41.4451,594,2013-10-25,0,30.2,41,51.9,25.6
BB17,-72.9981,41.4451,594,2013-10-26,0,27.8,38.4,49,26.4
BB17,-72.9981,41.4451,594,2013-10-27,0,35.7,43.7,51.8,28.6
BB17,-72.9981,41.4451,594,2013-10-28,0,29.2,42.5,55.8,27.9
BB17,-72.9981,41.4451,594,2013-10-29,0,34.9,46.8,58.7,28
BB17,-72.9981,41.4451,594,2013-10-30,0,33,42.1,51.2,24.9
BB17,-72.9981,41.4451,594,2013-10-31,0,35.6,45.2,54.8,36.9
BB17,-72.9981,41.4451,594,2013-11-01,0.11,45.6,55,64.5,54.3
BB17,-72.9981,41.4451,594,2013-11-02,0.08,42.4,54.7,66.9,49.1
BB17,-72.9981,41.4451,594,2013-11-03,0,41.5,53.4,65.2,39.8
BB17,-72.9981,41.4451,594,2013-11-04,0,27.2,36.7,46.2,19.4
BB17,-72.9981,41.4451,594,2013-11-05,0,28.3,36.5,44.7,16
BB17,-72.9981,41.4451,594,2013-11-06,0,32.7,42.8,52.8,32.7
BB17,-72.9981,41.4451,594,2013-11-07,0,40.8,50.3,59.9,46.5
BB17,-72.9981,41.4451,594,2013-11-08,0.23,32.1,46.9,61.6,38.1
BB17,-72.9981,41.4451,594,2013-11-09,0,28,37.5,47,23.8
BB17,-72.9981,41.4451,594,2013-11-10,0,31.6,39.2,46.7,27.6
BB17,-72.9981,41.4451,594,2013-11-11,0.02,34.7,45.6,56.5,29.2
BB17,-72.9981,41.4451,594,2013-11-12,0.1,33,42,51,27.3
BB17,-72.9981,41.4451,594,2013-11-13,0.01,22,27.8,33.6,13.9
BB17,-72.9981,41.4451,594,2013-11-14,0,23.5,29.6,35.6,12.1
BB17,-72.9981,41.4451,594,2013-11-15,0,27.7,39,50.4,14.9
BB17,-72.9981,41.4451,594,2013-11-16,0,31.7,44.8,57.9,24.3
BB17,-72.9981,41.4451,594,2013-11-17,0,35.9,47.9,59.8,35.8
BB17,-72.9981,41.4451,594,2013-11-18,0.35,45.6,53.1,60.7,52.1
BB17,-72.9981,41.4451,594,2013-11-19,0.01,38.5,50.7,62.9,30.3
BB17,-72.9981,41.4451,594,2013-11-20,0,26,35.1,44.2,17.6
BB17,-72.9981,41.4451,594,2013-11-21,0,22.3,32.3,42.4,11.2
BB17,-72.9981,41.4451,594,2013-11-22,0.01,22.1,34.7,47.3,27.6
BB17,-72.9981,41.4451,594,2013-11-23,0.08,37.3,44.1,50.9,40.2
BB17,-72.9981,41.4451,594,2013-11-24,0,20.5,31.9,43.3,13.2
BB17,-72.9981,41.4451,594,2013-11-25,0,14.3,20.3,26.3,0.2
BB17,-72.9981,41.4451,594,2013-11-26,0,18.3,25.6,32.8,9.2
BB17,-72.9981,41.4451,594,2013-11-27,2.78,31,43,55.1,30.1
BB17,-72.9981,41.4451,594,2013-11-28,0.73,26.5,41.3,56.1,31.9
BB17,-72.9981,41.4451,594,2013-11-29,0,21.2,26.2,31.2,10.9
BB17,-72.9981,41.4451,594,2013-11-30,0,15.9,25.1,34.3,11.1
BB17,-72.9981,41.4451,594,2013-12-01,0.02,17.9,26.2,34.6,15.7
BB17,-72.9981,41.4451,594,2013-12-02,0,29.4,37.2,45,30.8
BB17,-72.9981,41.4451,594,2013-12-03,0,26.8,35,43.2,29.8
BB17,-72.9981,41.4451,594,2013-12-04,0,27.5,38,48.5,28.7
BB17,-72.9981,41.4451,594,2013-12-05,0.02,29.8,40.3,50.8,31.8
BB17,-72.9981,41.4451,594,2013-12-06,0.06,42.5,48.1,53.8,47.7
BB17,-72.9981,41.4451,594,2013-12-07,0.61,32.7,39.3,46,32.2
BB17,-72.9981,41.4451,594,2013-12-08,0,20.1,28.9,37.6,18.5
BB17,-72.9981,41.4451,594,2013-12-09,0.07,23.3,26.9,30.4,17.7
BB17,-72.9981,41.4451,594,2013-12-10,0.15,28.4,31.3,34.2,28.4
BB17,-72.9981,41.4451,594,2013-12-11,0.17,17.8,25.3,32.9,20.6
BB17,-72.9981,41.4451,594,2013-12-12,0,14.9,22.2,29.5,13.4
BB17,-72.9981,41.4451,594,2013-12-13,0,10.5,17.4,24.2,3.8
BB17,-72.9981,41.4451,594,2013-12-14,0,16.7,23.9,31.2,9.3
BB17,-72.9981,41.4451,594,2013-12-15,0.81,13.5,20.8,28.1,12.6
BB17,-72.9981,41.4451,594,2013-12-16,0,20.9,26.9,32.9,20.1
BB17,-72.9981,41.4451,594,2013-12-17,0,5.3,16.5,27.7,3.9
BB17,-72.9981,41.4451,594,2013-12-18,0.35,11.3,17.4,23.5,10.8
BB17,-72.9981,41.4451,594,2013-12-19,0,19.3,27.1,34.9,16.5
BB17,-72.9981,41.4451,594,2013-12-20,0,25.6,34.6,43.5,22.9
BB17,-72.9981,41.4451,594,2013-12-21,0,32.1,40.3,48.5,31.2
BB17,-72.9981,41.4451,594,2013-12-22,0,40.3,48.6,57,44.3
BB17,-72.9981,41.4451,594,2013-12-23,0.08,52.2,57.5,62.7,52.7
