OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,TOWN_FIELD,TOWN_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
1,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Uxbridge,True,Uxbridge, ,Uxbridge,0.408476659860589,0.00844613319442246
2,Land,Other States,MA,Massachusetts,FIPS-COUNTY,21,Norfolk,TOWN-ID,Foxborough,True,Foxborough, ,Foxborough,0.332409183699228,0.00587375145325884
3,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Southbridge,True,Southbridge, ,Southbridge,0.345234184497118,0.00582149813304502
4,Land,Other States,MA,Massachusetts,FIPS-COUNTY,5,Bristol,TOWN-ID,Easton,True,Easton, ,Easton,0.182904150333166,0.00153951604040662
5,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Agawam,True,Agawam, ,Agawam,0.401121082164731,0.00686423785311511
6,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Gallatin,True,Gallatin, ,Gallatin,0.44782109148972,0.0111748424378806
7,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Douglas,True,Douglas, ,Douglas,0.467681050775382,0.0107587234020001
8,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Hampden,True,Hampden, ,Hampden,0.311724522486209,0.00554683866350424
9,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Southwick,True,Southwick, ,Southwick,0.465391939471009,0.00891167631376538
10,Land,Other States,MA,Massachusetts,FIPS-COUNTY,21,Norfolk,TOWN-ID,Wrentham,True,Wrentham, ,Wrentham,0.427792329409832,0.00637159746727082
11,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Dudley,True,Dudley, ,Dudley,0.357027904753947,0.00617006230241752
12,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Webster,True,Webster, ,Webster,0.272554014840485,0.00410400276463354
13,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Wales,True,Wales, ,Wales,0.279491184167916,0.00450504874743812
14,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Holland,True,Holland, ,Holland,0.250590829395954,0.00368995823908178
15,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Ancram,True,Ancram, ,Ancram,0.479904754769407,0.0120202360060487
16,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,East Longmeadow,True,East Longmeadow, ,East Longmeadow,0.246329784633516,0.00365739972702497
17,Land,Other States,NY,New York,CNTYCODE,13,Dutchess,SWIS,Red Hook,True,Red Hook, ,Red Hook,0.432145616507646,0.0111874229967398
18,Land,Other States,MA,Massachusetts,FIPS-COUNTY,13,Hamden,TOWN-ID,Longmeadow,True,Longmeadow, ,Longmeadow,0.212921754598679,0.0027009060172665
19,Land,Other States,MA,Massachusetts,FIPS-COUNTY,5,Bristol,TOWN-ID,Mansfield,True,Mansfield, ,Mansfield,0.335500332622708,0.00575696110742729
20,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Blackstone,True,Blackstone, ,Blackstone,0.228378782983305,0.0032145794337883
21,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Millville,True,Millville, ,Millville,0.15583909825249,0.00139736435614291
22,Land,Other States,MA,Massachusetts,FIPS-COUNTY,21,Norfolk,TOWN-ID,Plainville,True,Plainville, ,Plainville,0.258631387575574,0.00323053937908606
23,Land,Connecticut,CT,Connecticut,CNTY_COD,3,Litchfield,TOWN_NO,Salisbury,True,Salisbury,Salisbury, ,0.596666269571931,0.0169328120346394
24,Land,Other States,NY,New York,CNTYCODE,13,Dutchess,SWIS,Northeast,True,Northeast, ,Northeast,0.573253128259575,0.012290499447803
25,Land,Other States,NY,New York,CNTYCODE,13,Dutchess,SWIS,Milan,True,Milan, ,Milan,0.435746481587026,0.0102826933906751
26,Land,Connecticut,CT,Connecticut,CNTY_COD,3,Litchfield,TOWN_NO,North Canaan,True,North Canaan,North Canaan, ,0.330441867502921,0.00549648305981808
27,Land,Connecticut,CT,Connecticut,CNTY_COD,3,Litchfield,TOWN_NO,Norfolk,True,Norfolk,Norfolk, ,0.469948794793509,0.0130408548766204
28,Land,Connecticut,CT,Connecticut,CNTY_COD,3,Litchfield,TOWN_NO,Colebrook,True,Colebrook,Colebrook, ,0.4017260009271,0.00925530259710327
29,Land,Connecticut,CT,Connecticut,CNTY_COD,2,Hartford,TOWN_NO,Hartland,True,Hartland,Hartland, ,0.430596982794284,0.00964655223973693
30,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Lexington,True,Lexington, ,Lexington,0.27985683699271,0.00471550992936802
31,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Cummington,True,Cummington, ,Cummington,0.36917209978318,0.00654030914589588
32,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Sterling,True,Sterling, ,Sterling,0.414876604302906,0.00895847329341523
33,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Chatham,True,Chatham, ,Chatham,0.534452910307195,0.0153225812373636
34,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Northfield,True,Northfield, ,Northfield,0.0692360368454519,0.000199460304240075
35,Land,Other States,NY,New York,CNTYCODE,38,Rensselaer,SWIS,Berlin,True,Berlin, ,Berlin,0.180594741490378,0.000258174479528943
36,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Warwick,True,Warwick, ,Warwick,0.0777786866493685,8.12242371868064e-05
37,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Winchendon,True,Winchendon, ,Winchendon,0.0702153250047631,0.000158343846212441
38,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Ashburnham,True,Ashburnham, ,Ashburnham,0.142829256318699,0.000447003026130698
39,Land,Other States,MA,Massachusetts,FIPS-COUNTY,9,Essex,TOWN-ID,Andover,True,Andover, ,Andover,0.0658325992699997,8.03638760954236e-05
40,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Gill,True,Gill, ,Gill,0.170773189819896,0.000838422992741273
41,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Orange,True,Orange, ,Orange,0.395114539552292,0.00585449417704274
42,Land,Other States,NY,New York,CNTYCODE,1,Albany,SWIS,Bethlehem,True,Bethlehem, ,Bethlehem,0.417008768180954,0.0101662848381398
43,Land,Other States,NY,New York,CNTYCODE,1,Albany,SWIS,New Scotland,True,New Scotland, ,New Scotland,0.381807637928286,0.008594595547791
44,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Charlemont,True,Charlemont, ,Charlemont,0.0487450473057862,3.72293470278819e-05
45,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Groton,True,Groton, ,Groton,0.341830698186722,0.00402041124158097
46,Land,Other States,NY,New York,CNTYCODE,38,Rensselaer,SWIS,Sand Lake,True,Sand Lake, ,Sand Lake,0.375886012893005,0.00222805825709451
47,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Tewksbury,True,Tewksbury, ,Tewksbury,0.257386987016576,0.00222089064889269
48,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Westford,True,Westford, ,Westford,0.328392763169739,0.0064413502489444
49,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Chelmsford,True,Chelmsford, ,Chelmsford,0.28615273138638,0.00396056661996089
50,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Adams,True,Adams, ,Adams,0.248622042787333,0.00186859241770965
51,Land,Other States,NY,New York,CNTYCODE,1,Albany,SWIS,Berne,True,Berne, ,Berne,0.331401579936179,0.00568988869037077
52,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Greenfield,True,Greenfield, ,Greenfield,0.270102857231911,0.00300078243519032
53,Land,Other States,NY,New York,CNTYCODE,38,Rensselaer,SWIS,East Greenbush,True,East Greenbush, ,East Greenbush,0.294387746274688,0.00332916459081258
54,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Savoy,True,Savoy, ,Savoy,0.378672502910255,0.00709715893928578
55,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Lunenburg,True,Lunenburg, ,Lunenburg,0.346176411066239,0.00593017271939355
56,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Athol,True,Athol, ,Athol,0.419004812917296,0.00746422204962495
57,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Shelburne,True,Shelburne, ,Shelburne,0.312156781981391,0.00421206234124885
58,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Fitchburg,True,Fitchburg, ,Fitchburg,0.379489848584065,0.00575374647813501
59,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Shirley,True,Shirley, ,Shirley,0.29894987647032,0.00407035662658352
60,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Erving,True,Erving, ,Erving,0.34744554904863,0.00259520810643342
61,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Hancock,True,Hancock, ,Hancock,0.524334823856584,0.00927078778763566
62,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Gardner,True,Gardner, ,Gardner,0.391963730267713,0.00586015195107132
63,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Westminster,True,Westminster, ,Westminster,0.473952441744736,0.0102450892128342
64,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,New Ashford,True,New Ashford, ,New Ashford,0.264483982477327,0.00229289103238953
65,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Hawley,True,Hawley, ,Hawley,0.383072440674323,0.00801156112871201
66,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Templeton,True,Templeton, ,Templeton,0.457332828382836,0.00832394080014429
67,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Buckland,True,Buckland, ,Buckland,0.342155689809557,0.00512463319891407
68,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Wilmington,True,Wilmington, ,Wilmington,0.307068070879811,0.00472227446594667
69,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Phillipston,True,Phillipston, ,Phillipston,0.415767170926712,0.00675164622066491
70,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Billerica,True,Billerica, ,Billerica,0.395864788888245,0.00741512416191405
71,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,North Reading,True,North Reading, ,North Reading,0.116463481229439,0.000329831803210805
72,Land,Other States,NY,New York,CNTYCODE,38,Rensselaer,SWIS,Stephentown,True,Stephentown, ,Stephentown,0.539941111797137,0.0163653164655524
73,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Montague,True,Montague, ,Montague,0.448175900379356,0.00892043680457268
74,Land,Other States,NY,New York,CNTYCODE,38,Rensselaer,SWIS,Nassau,True,Nassau, ,Nassau,0.522736894886094,0.0128818585987691
75,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Wendell,True,Wendell, ,Wendell,0.409577046479668,0.00914499349513561
76,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Cheshire,True,Cheshire, ,Cheshire,0.458318022231292,0.00781110947801317
77,Land,Other States,NY,New York,CNTYCODE,38,Rensselaer,SWIS,Schodack,True,Schodack, ,Schodack,0.605333090328629,0.01804127163221
78,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Lanesborough,True,Lanesborough, ,Lanesborough,0.45949978218136,0.00839113402287532
79,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Ayer,True,Ayer, ,Ayer,0.283476494096051,0.00269766978414683
80,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Conway,True,Conway, ,Conway,0.484766592645514,0.0107322856995589
81,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Littleton,True,Littleton, ,Littleton,0.2976920265999,0.00497622418681427
82,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Deerfield,True,Deerfield, ,Deerfield,0.466204074593114,0.00948275715764488
83,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Leominster,True,Leominster, ,Leominster,0.450165564881083,0.00842174336574962
84,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Reading,True,Reading, ,Reading,0.0950285883713341,0.00021681673855405
85,Land,Other States,NY,New York,CNTYCODE,1,Albany,SWIS,Westerlo,True,Westerlo, ,Westerlo,0.518078778760781,0.0166022491087645
86,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Carlisle,True,Carlisle, ,Carlisle,0.273159902138136,0.0043959429998008
87,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Ashfield,True,Ashfield, ,Ashfield,0.437182047605088,0.0114399223891919
88,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Windsor,True,Windsor, ,Windsor,0.422256282711136,0.00997893180871528
89,Land,Other States,NY,New York,CNTYCODE,1,Albany,SWIS,Rensselaerville,True,Rensselaerville, ,Rensselaerville,0.285224166318816,0.00189619785344741
90,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Harvard,True,Harvard, ,Harvard,0.414270470077269,0.00769706587131396
91,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Plainfield,True,Plainfield, ,Plainfield,0.339753914941274,0.00603953259747115
92,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Burlington,True,Burlington, ,Burlington,0.236821265338615,0.00336378949847806
93,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Petersham,True,Petersham, ,Petersham,0.771526227200199,0.0193381616666351
94,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,New Salem,True,New Salem, ,New Salem,0.87010745981164,0.0166427462683587
95,Land,Other States,NY,New York,CNTYCODE,1,Albany,SWIS,Coeymans,True,Coeymans, ,Coeymans,0.559736667899017,0.0150361525225086
96,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Hubbardston,True,Hubbardston, ,Hubbardston,0.460200523303204,0.0118891023848572
97,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Dalton,True,Dalton, ,Dalton,0.379988105635733,0.00620695651841113
98,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Acton,True,Acton, ,Acton,0.320958621540077,0.00574592915965165
99,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Woburn,True,Woburn, ,Woburn,0.265277701756872,0.00326256352156527
100,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Lancaster,True,Lancaster, ,Lancaster,0.414674974823491,0.0079357629231512
101,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Bedford,True,Bedford, ,Bedford,0.265116462667371,0.00393065935143625
102,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Boxborough,True,Boxborough, ,Boxborough,0.226076550257225,0.00294693234208901
103,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Princeton,True,Princeton, ,Princeton,0.460811726518733,0.0101586115508079
104,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Leverett,True,Leverett, ,Leverett,0.326492389246494,0.00653150414321321
105,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Concord,True,Concord, ,Concord,0.389007687747786,0.00731631276734768
106,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,New Lebanon,True,New Lebanon, ,New Lebanon,0.446214291903053,0.0101822923043835
107,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Shutesbury,True,Shutesbury, ,Shutesbury,0.429722288274957,0.00768155456525601
108,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Sunderland,True,Sunderland, ,Sunderland,0.269653715654874,0.00418185894634199
109,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Pittsfield,True,Pittsfield, ,Pittsfield,0.449771611452779,0.0120365939428095
110,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Hinsdale,True,Hinsdale, ,Hinsdale,0.383481070511242,0.00614450208884601
111,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Barre,True,Barre, ,Barre,0.47169951649071,0.0126389113484894
112,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Winchester,True,Winchester, ,Winchester,0.178820566994114,0.00140075346457044
113,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Bolton,True,Bolton, ,Bolton,0.307766932971171,0.00570191322393028
114,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Goshen,True,Goshen, ,Goshen,0.35640358909468,0.00502582816986616
115,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Kinderhook,True,Kinderhook, ,Kinderhook,0.418258191648157,0.00918730333702738
116,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Peru,True,Peru, ,Peru,0.379412586178551,0.00737283392460337
117,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Lincoln,True,Lincoln, ,Lincoln,0.306085085832304,0.00424617448027472
118,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Stuyvesant,True,Stuyvesant, ,Stuyvesant,0.429396013449431,0.00757728061218102
119,Land,Other States,MA,Massachusetts,FIPS-COUNTY,11,Franklin,TOWN-ID,Whately,True,Whately, ,Whately,0.357135978523936,0.00585727279326365
120,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Stow,True,Stow, ,Stow,0.300435946373566,0.00511103203454692
121,Land,Other States,NY,New York,CNTYCODE,19,Greene,SWIS,New Baltimore,True,New Baltimore, ,New Baltimore,0.478859213389518,0.0121976372159878
122,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Medford,True,Medford, ,Medford,0.0729578887466653,0.000313200246572765
123,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Maynard,True,Maynard, ,Maynard,0.151633808682484,0.00153223684496599
124,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Williamsburg,True,Williamsburg, ,Williamsburg,0.383639765851701,0.00726894495733361
125,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Worthington,True,Worthington, ,Worthington,0.473684868636591,0.00909696245005729
126,Land,Other States,NY,New York,CNTYCODE,19,Greene,SWIS,Greenville,True,Greenville, ,Greenville,0.454662918035303,0.0111066065364557
127,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Rutland,True,Rutland, ,Rutland,0.421056306386985,0.0102491955147754
128,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Arlington,True,Arlington, ,Arlington,0.176214905923649,0.00154041361876796
129,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Sudbury,True,Sudbury, ,Sudbury,0.415802617091502,0.00700884221367865
130,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Canaan,True,Canaan, ,Canaan,0.435220460967204,0.0104688943384939
131,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Clinton,True,Clinton, ,Clinton,0.197890075162651,0.00206000389960909
132,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Chesterfield,True,Chesterfield, ,Chesterfield,0.444149648581688,0.00885080107060225
133,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Holden,True,Holden, ,Holden,0.450702467940314,0.0102821900402823
134,Land,Other States,NY,New York,CNTYCODE,19,Greene,SWIS,Durham,True,Durham, ,Durham,0.314811095580432,0.00439078510063701
135,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Amherst,True,Amherst, ,Amherst,0.40433193504956,0.00785711584348929
136,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Waltham,True,Waltham, ,Waltham,0.281324021986409,0.00389718047129905
137,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Somerville,True,Somerville, ,Somerville,0.0372375327184216,3.74423460017941e-05
138,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Hadley,True,Hadley, ,Hadley,0.522671506304,0.00698337850464101
139,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Belmont,True,Belmont, ,Belmont,0.17743599940871,0.00134947619584989
140,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Richmond,True,Richmond, ,Richmond,0.347702681425059,0.00538671658102567
141,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Berlin,True,Berlin, ,Berlin,0.280857842446417,0.00372577747906769
142,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Hatfield,True,Hatfield, ,Hatfield,0.319810593843116,0.00476349872069862
143,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Pelham,True,Pelham, ,Pelham,0.437205468651817,0.00750265706161763
144,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Wayland,True,Wayland, ,Wayland,0.355922064930134,0.00448533258023598
145,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Hardwick,True,Hardwick, ,Hardwick,0.562727193904355,0.0115658438100606
146,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Hudson,True,Hudson, ,Hudson,0.343547708308888,0.00336072287415821
147,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Cambridge,True,Cambridge, ,Cambridge,0.135419532730665,0.000732830516028161
148,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Washington,True,Washington, ,Washington,0.502185262629429,0.0109748935431095
149,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Lenox,True,Lenox, ,Lenox,0.395824449530163,0.0061384848078156
150,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Weston,True,Weston, ,Weston,0.317132434741618,0.00489903629732169
151,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,West Boylston,True,West Boylston, ,West Boylston,0.310528368366342,0.0039086753765893
152,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Oakham,True,Oakham, ,Oakham,0.332822979104684,0.00602528521125008
153,Land,Other States,MA,Massachusetts,FIPS-COUNTY,25,Suffolk,TOWN-ID,Boston,True,Boston, ,Boston,0.40010459014378,0.00311261410959618
154,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Boylston,True,Boylston, ,Boylston,0.316458332460015,0.00559231687004134
155,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Watertown,True,Watertown, ,Watertown,0.18997222422508,0.00116621636603642
156,Land,Other States,NY,New York,CNTYCODE,19,Greene,SWIS,Coxsackie,True,Coxsackie, ,Coxsackie,0.466330875584954,0.0108648020378893
157,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Middlefield,True,Middlefield, ,Middlefield,0.359132903892435,0.00683607680036093
158,Land,Other States,NY,New York,CNTYCODE,19,Greene,SWIS,Windham,True,Windham, ,Windham,0.0927073921575134,0.000482363613718393
159,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Marlborough,True,Marlborough, ,Marlborough,0.373601899222655,0.00623468655430458
160,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Newton,True,Newton, ,Newton,0.395620829771796,0.00514620234137576
161,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Northampton,True,Northampton, ,Northampton,0.455493864136688,0.0100995563391785
162,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,Northborough,True,Northborough, ,Northborough,0.324090302030582,0.00530222889715888
163,Land,Other States,MA,Massachusetts,FIPS-COUNTY,3,Berkshire,TOWN-ID,Lee,True,Lee, ,Lee,0.436420196073119,0.00763924390745689
164,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Ghent,True,Ghent, ,Ghent,0.480939021215645,0.0126615462115886
165,Land,Other States,MA,Massachusetts,FIPS-COUNTY,27,Worcester,TOWN-ID,New Braintree,True,New Braintree, ,New Braintree,0.46872704523183,0.00592425992852428
166,Land,Other States,NY,New York,CNTYCODE,19,Greene,SWIS,Cairo,True,Cairo, ,Cairo,0.564908768310903,0.0167071027907217
167,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Austerlitz,True,Austerlitz, ,Austerlitz,0.493860292483959,0.0138198985216411
168,Land,Other States,MA,Massachusetts,FIPS-COUNTY,21,Norfolk,TOWN-ID,Brookline,True,Brookline, ,Brookline,0.157884320983276,0.00129036948508185
169,Land,Other States,MA,Massachusetts,FIPS-COUNTY,15,Hampshire,TOWN-ID,Westhampton,True,Westhampton, ,Westhampton,0.353454314041645,0.00772391803522117
170,Land,Other States,NY,New York,CNTYCODE,10,Columbia,SWIS,Stockport,True,Stockport, ,Stockport,0.272812478352652,0.00371386741501309
171,Land,Other States,MA,Massachusetts,FIPS-COUNTY,17,Middlesex,TOWN-ID,Framingham,True,Framingham, ,Framingham,0.373093387524789,0.00749994195672895
