OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,TOWN_FIELD,TOWN_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
1549,Land,Other States,NY,New York,CNTYCODE,55,Westchester,SWIS,Mamaroneck,False, , , ,0.000545179835541754,1.99293897937948e-08
1550,Land,Other States,NY,New York,CNTYCODE,60,Bronx,SWIS, Bronx,True, Bronx, , Bronx,1.02525654883196,0.0113118549209527
1551,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Oyster Bay,True,Oyster Bay, ,Oyster Bay,1.45962002852914,0.0268884354150019
1552,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Hackensack city,True,Hackensack city, ,Hackensack city,0.192439534545769,0.00119039204838943
1553,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,SWIS,Southampton,True,Southampton, ,Southampton,1.27258997055773,0.0195973955113397
1554,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Englewood city,True,Englewood city, ,Englewood city,0.160219867509184,0.00137084929028006
1555,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Englewood Cliffs borough,True,Englewood Cliffs borough, ,Englewood Cliffs borough,0.120227451311462,0.00057612626145202
1556,Land,Other States,NY,New York,CNTYCODE,28,Nassau,SWIS,Glen Cove,True,Glen Cove, ,Glen Cove,0.219962092830156,0.00190778858287347
1557,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Lodi borough,True,Lodi borough, ,Lodi borough,0.0964816240671547,0.000424680870611579
1558,Land,Other States,NY,New York,CNTYCODE,55,Westchester,SWIS,New Rochelle,False, , , ,0.0295967844698595,2.79857690159111e-05
1559,Land,Other States,NY,New York,CNTYCODE,55,Westchester,SWIS,New Rochelle,False, , , ,0.028331222037832,3.38082554044045e-05
1560,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Bogota borough,True,Bogota borough, ,Bogota borough,0.0666842158674111,0.00021974205503579
1561,Land,Other States,NY,New York,CNTYCODE,55,Westchester,SWIS,Pelham,False, , , ,0.00428526480195893,4.68400069284501e-07
1562,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Hasbrouck Heights borough,True,Hasbrouck Heights borough, ,Hasbrouck Heights borough,0.0953865084246149,0.000399336496805868
1563,Land,Other States,NY,New York,CNTYCODE,62,New York,SWIS,Manhattan,True,Manhattan, ,Manhattan,0.67629568214687,0.00585194124301043
1564,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Leonia borough,True,Leonia borough, ,Leonia borough,0.093834773895491,0.000449450351722167
1565,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,South Hackensack township,True,South Hackensack township, ,South Hackensack township,0.0682192752214766,0.000161136929288985
1566,Land,Other States,NJ,New Jersey,FIPSCO,3,Bergen,KEY,Bogota borough,True,Bogota borough, ,Bogota borough,0.000950522859842568,8.07056414677279e-09
